Pays,max_podium,total_medals,ratio_specialisation,H_norm,Perf_H,SOVEREIGNT_corr
Afghanistan,2,2,1.0,0.0,0.0,Afghanistan
Curacao,1,1,1.0,0.0,0.0,Curacao
Bahamas,36,40,0.9,0.46899559358928117,18.759823743571246,The Bahamas
Barbados,1,1,1.0,0.0,0.0,Barbados
Burundi,2,2,1.0,0.0,0.0,Burundi
Bermuda,1,1,1.0,0.0,0.0,Bermuda
Botswana,1,1,1.0,0.0,0.0,Botswana
Bahrain,3,3,1.0,0.0,0.0,Bahrain
Cameroon,18,22,0.8181818181818182,0.5462947022805017,12.018483450171038,Cameroon
Costa Rica,4,4,1.0,0.0,0.0,Costa Rica
Cyprus,1,1,1.0,0.0,0.0,Cyprus
Djibouti,1,1,1.0,0.0,0.0,Djibouti
Ecuador,2,2,1.0,0.0,0.0,Ecuador
Eritrea,1,1,1.0,0.0,0.0,Eritrea
Ethiopia,53,53,1.0,0.0,0.0,Ethiopia
Fiji,13,13,1.0,0.0,0.0,Fiji
Gabon,1,1,1.0,0.0,0.0,Gabon
Ghana,20,23,0.8695652173913043,0.5586293734521992,12.848475589400582,Ghana
Grenada,2,2,1.0,0.0,0.0,Grenada
Guatemala,1,1,1.0,0.0,0.0,Guatemala
Guyana,1,1,1.0,0.0,0.0,Guyana
India,173,197,0.8781725888324873,0.2723765383094595,53.65817804696353,India
Individual Olympic Athletes,5,5,1.0,0.0,0.0,Individual Olympic Athletes
Iraq,1,1,1.0,0.0,0.0,Iraq
Iceland,14,17,0.8235294117647058,0.5264143616682583,8.949044148360391,Iceland
"Virgin Islands, US",1,1,1.0,0.0,0.0,"Virgin Islands, US"
Jamaica,156,157,0.9936305732484076,0.05562236581831019,8.7327114334747,Jamaica
Jordan,1,1,1.0,0.0,0.0,Jordan
Kenya,99,106,0.9339622641509434,0.35096017303221255,37.20177834141453,Kenya
Kosovo,1,1,1.0,0.0,0.0,Kosovo
Saudi Arabia,5,6,0.8333333333333334,0.6500224216483541,3.9001345298901247,Saudi Arabia
Kuwait,2,2,1.0,0.0,0.0,Kuwait
Liechtenstein,9,9,1.0,0.0,0.0,Liechtenstein
Morocco,19,23,0.8260869565217391,0.6665783579949205,15.331302233883171,Morocco
Macedonia,1,1,1.0,0.0,0.0,North Macedonia
Montenegro,14,14,1.0,0.0,0.0,Montenegro
Monaco,1,1,1.0,0.0,0.0,Monaco
Mozambique,2,2,1.0,0.0,0.0,Mozambique
Mauritius,1,1,1.0,0.0,0.0,Mauritius
Namibia,4,4,1.0,0.0,0.0,Namibia
Nepal,1,1,1.0,0.0,0.0,Nepal
Pakistan,119,121,0.9834710743801653,0.08707423921757701,10.535982945326818,Pakistan
Panama,3,3,1.0,0.0,0.0,Panama
Paraguay,17,17,1.0,0.0,0.0,Paraguay
Peru,12,15,0.8,0.7219280948873623,10.828921423310435,Peru
Senegal,1,1,1.0,0.0,0.0,Senegal
Sri Lanka,2,2,1.0,0.0,0.0,Sri Lanka
Sudan,1,1,1.0,0.0,0.0,Sudan
Suriname,2,2,1.0,0.0,0.0,Suriname
Tanzania,2,2,1.0,0.0,0.0,United Republic of Tanzania
Tonga,1,1,1.0,0.0,0.0,Tonga
Togo,1,1,1.0,0.0,0.0,Togo
Trinidad,28,32,0.875,0.4069334185909922,13.02186939491175,Trinidad and Tobago
